name,country,location_city,website,employees,revenue_usd,clutch_rating,min_project_size_usd,is_wp_specialist,kaycore_fit_score,partnership_priority,web_pct,mobile_pct,custom_pct,cluster
HUEMOR,US,"Pittsburgh, PA",https://huemor.rocks%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.872,25000,False,5,Medium,40.0,0.0,0.0,1
Lounge Lizard,US,"Austin, TX",https://www.loungelizard.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,29,4524000.0,4.843,25000,False,5,Medium,55.0,0.0,0.0,1
Geniusee,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJjMTk2ODAxNi0zYjQ4LTRmY2MtYTM1Yy0xMWVlNWQ0YzI0YzgiLCJwcm92aWRlcl9pZCI6MTUzOTkxLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6Mjg5NjUxLCJwb3NpdGlvbiI6NywiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:horPFRnTPgKwAyx60s3MHUTI4_2Rs7Sbe5gc0gMD4jE,29,4524000.0,5.067,50000,False,5,Medium,40.0,0.0,40.0,1
"TRIARE, LLC",US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI3MTA5OTFkYy0xNmE0LTQyNTYtOWVmMS1hY2Q1ODNmNjY0YjgiLCJwcm92aWRlcl9pZCI6Njg3NjgxLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6MjM5ODU0LCJwb3NpdGlvbiI6OCwiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:0B_mfndRBl0dJ4ba4IIlbKSFI4C5ZsEKH9keNT1zzdI,29,4524000.0,4.937,10000,False,5,Medium,35.0,41.0,0.0,0
Arounda,US,Completed projects in 19 countries,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI1MmE2NDAyZi05ZjdkLTQzYzMtYmI1YS0xM2Y1OGYyYzUyY2QiLCJwcm92aWRlcl9pZCI6MTE1MzA3MCwiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjM3MzE4NywicG9zaXRpb24iOjksImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:r1nHxEvm4bY8UKmFV-UD7I-ZLsB0qRwuERoHmbWDQLo,29,4524000.0,5.072,25000,False,5,Medium,30.0,0.0,0.0,1
Five Jars,US,"Arlington, VA",https://fivejars.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.931,10000,False,5,Medium,50.0,15.0,0.0,1
Scopic,US,"Marlborough, MA",https://scopicsoftware.com/web-development/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.962,10000,False,5,Medium,25.0,10.0,0.0,1
Dev Technosys,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiIzZTE5YWMxOS1kZDMwLTRhYTMtYmYxMi0yZWNhOGFlZWYxYmYiLCJwcm92aWRlcl9pZCI6NDYzMzQsImZlYXR1cmVkX2xpc3RpbmdfaWQiOjIsImZlYXR1cmVkX3Bvc2l0aW9uX2lkIjozNzc2ODUsInBvc2l0aW9uIjoxMCwiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:QEnrNXSTh_6aGv1ZzGmfDGnOiPp0-l6LOkONC8bidwk,100,15600000.0,4.8201,10000,False,5,Medium,10.0,35.0,0.0,2
Rekos Agency,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJmZGJlZTg2Ny05OWFjLTQxOTAtOTJjOS02NDZiYTU4ZjViNTgiLCJwcm92aWRlcl9pZCI6MjA2NzA4NywiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjI2NDIwMywicG9zaXRpb24iOjExLCJpc19zcG90bGlnaHQiOmZhbHNlfQ:1vtqby:_cEmpKyOyoXGHXc4O-aoajSRbbRzKdwDCDWt3ma2ugs,29,4524000.0,4.926,5000,False,5,Medium,30.0,0.0,0.0,1
Crest Coder Private Limited,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJiZGUxMWZjNS03NmVlLTQ1OGUtYmZiOS1jNWNkZWNjYjU3NjUiLCJwcm92aWRlcl9pZCI6NzA3NjE5LCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6Mzg2MjM1LCJwb3NpdGlvbiI6MTIsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:A2Kpr2IpfKeI3KG58tjqOEPWFQZ5zu_BgBR1JTOu2ZY,29,4524000.0,4.734,5000,False,5,Medium,50.0,50.0,0.0,0
