country,source,name,website,location_city,clutch_rating,min_project_size_usd,employees,services,is_wp_specialist
US,clutch.co,Orbit Media Studios,https://www.orbitmedia.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Chicago, IL",5.031,50000,29,"['30% Web Development', '30% Web Design']",False
US,clutch.co,HUEMOR,https://huemor.rocks%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Pittsburgh, PA",4.872,25000,29,"['40% Web Design', '30% Web Development', '10% Search Engine Optimization', '10% UX/UI Design']",False
US,clutch.co,Lounge Lizard,https://www.loungelizard.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Austin, TX",4.843,25000,29,"['55% Web Design', '35% Web Development', '10% Branding']",False
US,clutch.co,Geniusee,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJjMTk2ODAxNi0zYjQ4LTRmY2MtYTM1Yy0xMWVlNWQ0YzI0YzgiLCJwcm92aWRlcl9pZCI6MTUzOTkxLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6Mjg5NjUxLCJwb3NpdGlvbiI6NywiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:horPFRnTPgKwAyx60s3MHUTI4_2Rs7Sbe5gc0gMD4jE,Serves United States,5.067,50000,29,"['40% Web Development', '40% Custom Software Development', '10% Cloud Consulting & SI']",False
US,clutch.co,"TRIARE, LLC",https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI3MTA5OTFkYy0xNmE0LTQyNTYtOWVmMS1hY2Q1ODNmNjY0YjgiLCJwcm92aWRlcl9pZCI6Njg3NjgxLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6MjM5ODU0LCJwb3NpdGlvbiI6OCwiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:0B_mfndRBl0dJ4ba4IIlbKSFI4C5ZsEKH9keNT1zzdI,Serves United States,4.937,10000,29,"['41% Mobile App Development', '35% Web Development', '12% UX/UI Design']",False
US,clutch.co,Arounda,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI1MmE2NDAyZi05ZjdkLTQzYzMtYmI1YS0xM2Y1OGYyYzUyY2QiLCJwcm92aWRlcl9pZCI6MTE1MzA3MCwiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjM3MzE4NywicG9zaXRpb24iOjksImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:r1nHxEvm4bY8UKmFV-UD7I-ZLsB0qRwuERoHmbWDQLo,Completed projects in 19 countries,5.072,25000,29,"['30% Web Development', '30% UX/UI Design', '10% Branding']",False
US,clutch.co,Five Jars,https://fivejars.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Arlington, VA",4.931,10000,29,"['50% Web Development', '20% Web Design', '15% Mobile App Development']",False
US,clutch.co,Scopic,https://scopicsoftware.com/web-development/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Marlborough, MA",4.962,10000,29,"['30% AI Development', '25% Web Development', '10% Mobile App Development', '5% Cloud Consulting & SI']",False
US,clutch.co,Dev Technosys,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiIzZTE5YWMxOS1kZDMwLTRhYTMtYmYxMi0yZWNhOGFlZWYxYmYiLCJwcm92aWRlcl9pZCI6NDYzMzQsImZlYXR1cmVkX2xpc3RpbmdfaWQiOjIsImZlYXR1cmVkX3Bvc2l0aW9uX2lkIjozNzc2ODUsInBvc2l0aW9uIjoxMCwiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:QEnrNXSTh_6aGv1ZzGmfDGnOiPp0-l6LOkONC8bidwk,Serves United States,4.8201,10000,100,"['55% Blockchain', '35% Mobile App Development', '10% Web Development']",False
US,clutch.co,Rekos Agency,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJmZGJlZTg2Ny05OWFjLTQxOTAtOTJjOS02NDZiYTU4ZjViNTgiLCJwcm92aWRlcl9pZCI6MjA2NzA4NywiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjI2NDIwMywicG9zaXRpb24iOjExLCJpc19zcG90bGlnaHQiOmZhbHNlfQ:1vtqby:_cEmpKyOyoXGHXc4O-aoajSRbbRzKdwDCDWt3ma2ugs,Serves United States,4.926,5000,29,"['30% Web Development', '30% Web Design', '20% UX/UI Design']",False
US,clutch.co,Crest Coder Private Limited,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJiZGUxMWZjNS03NmVlLTQ1OGUtYmZiOS1jNWNkZWNjYjU3NjUiLCJwcm92aWRlcl9pZCI6NzA3NjE5LCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6Mzg2MjM1LCJwb3NpdGlvbiI6MTIsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:A2Kpr2IpfKeI3KG58tjqOEPWFQZ5zu_BgBR1JTOu2ZY,Serves United States,4.734,5000,29,"['50% Web Development', '50% Mobile App Development']",False
US,clutch.co,"Wakefly, Inc.",https://www.wakefly.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Westborough, MA",4.824,25000,29,"['55% Web Development', '20% Custom Software Development', '10% UX/UI Design']",False
US,clutch.co,UPQODE,https://upqode.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Atlanta, GA",4.994,5000,3,"['40% Web Design', '30% Web Development', '10% Mobile App Development', '10% UX/UI Design']",False
US,clutch.co,Appello Software,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiIyZmQ2ZDE5ZS1kYjBhLTRkNWItYjliOC00YjVlYjdjYWEzMmQiLCJwcm92aWRlcl9pZCI6NTk1MDY2LCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6MjM2MTQyLCJwb3NpdGlvbiI6MTMsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:5kXC2PUdUAoU8-FYIduNxsUyTH6-kTLAnBaNc16grCE,Serves United States,4.933,50000,33,"['55% Mobile App Development', '35% Custom Software Development', '10% Web Development']",False
US,clutch.co,Read more,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJiZmFkNGVkMy1lMzQzLTQ4ZDctODNiOS0xYTA4MDZlZTliMTkiLCJwcm92aWRlcl9pZCI6MjUxNjkxNSwiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjM4MjQ2NywicG9zaXRpb24iOjE0LCJpc19zcG90bGlnaHQiOmZhbHNlfQ:1vtqby:2HllJynRrtExftwBHCFwG4RrKYtB8VALibOQKzqtm2I,United States,0.0,10000,29,"['20% Web Development', '20% AI Development', '20% Mobile App Development', '20% UX/UI Design']",False
US,clutch.co,ExpandX,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJiOGE2YWYyYy1mMGUyLTQzYzQtODZhZi00MmY5ZWI4MmEwN2UiLCJwcm92aWRlcl9pZCI6NzMyNTA0LCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6Mzg1MTMxLCJwb3NpdGlvbiI6MTUsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:yErKzjA9oEXK_tQhU5B2Dhnx4Dh-vvisjqHRT_NTR8o,Serves United States,5.066,10000,11,"['30% Web Development', '20% E-Commerce Development', '10% Web Design']",False
US,clutch.co,DOOR3,https://www.door3.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral,"New York, NY",4.945,25000,29,"['25% Web Development', '25% AI Development', '25% UX/UI Design']",False
US,clutch.co,Oshyn,https://www.oshyn.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Cypress, CA",4.918,25000,29,['100% Web Development'],False
US,clutch.co,LLT Group,http://WWW.LLT-GROUP.COM,"Los Angeles, CA",4.985,25000,50,"['45% Web Design', '30% Web Development', '5% Search Engine Optimization']",False
US,clutch.co,Storm Brain,https://stormbrain.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Carlsbad, CA",5.0124,10000,29,"['40% Web Design', '20% Web Development', '10% E-Commerce Development', '10% Pay Per Click', '10% Search Engine Optimization']",False
US,clutch.co,Collective42,https://collective42.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Encinitas, CA",5.029,5000,29,"['35% Web Development', '35% Web Design', '10% Pay Per Click']",False
US,clutch.co,Orases,https://www.orases.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Frederick, MD",5.071,75000,29,"['20% Web Development', '20% Custom Software Development', '20% Mobile App Development']",False
US,clutch.co,Vrrb - Web & Product Design Agency,http://www.vrrb.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Los Angeles, CA",4.934,25000,29,"['25% Web Development', '25% Web Design', '10% Custom Software Development', '10% E-Commerce Development', '10% UX/UI Design']",False
US,clutch.co,JetRockets,https://jetrockets.com/,"Brooklyn, NY",4.946,25000,29,"['30% Web Development', '30% Custom Software Development', '10% AI Development']",False
US,clutch.co,Ignite Visibility,https://ignitevisibility.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"San Diego, CA",4.8171,10000,29,"['40% Search Engine Optimization', '10% Web Development', '10% Low/No Code Development', '10% Pay Per Click', '10% Web Design']",False
US,clutch.co,efelle creative,http://www.seattlewebdesign.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Seattle, WA",5.063,25000,29,"['30% Web Development', '30% Web Design', '10% Pay Per Click', '10% Search Engine Optimization']",False
US,clutch.co,"Oomph, Inc.",https://oomphinc.com/%3Futm_source%3Dclutch%26utm_medium%3Dreferral%26utm_campaign%3Dprofile,"Providence, RI",5.017,25000,29,"['30% Web Development', '20% Digital Strategy', '20% Web Design', '10% Custom Software Development']",False
US,clutch.co,Swovo,https://flatirons.com/services/web-development/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Boulder, CO",5.027,50000,29,"['40% Web Development', '20% Mobile App Development', '10% Custom Software Development', '10% IT Staff Augmentation', '10% UX/UI Design']",False
US,clutch.co,Perpetual,http://www.perpetualny.com/services/web-development/%3Futm_source%3Dclutch.co/%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"New York, NY",4.996,25000,29,"['30% UX/UI Design', '20% Web Development', '10% Custom Software Development', '10% Mobile App Development', '10% Web Design', '3% AI Development', '2% E-Commerce Development']",False
US,clutch.co,Three29,https://three29.com/top-web-developers/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Jacksonville, FL",4.94,10000,29,"['25% Web Design', '20% Web Development', '10% Branding', '10% Search Engine Optimization']",False
US,clutch.co,Diffco,https://diffco.us/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"San Jose, CA",5.031,25000,29,"['25% AI Development', '20% IT Staff Augmentation', '15% Web Development', '15% Mobile App Development']",False
US,clutch.co,RoleModel Software,https://www.rolemodelsoftware.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Apex, NC",4.924,5000,29,"['40% Web Development', '40% Custom Software Development', '10% UX/UI Design']",False
US,clutch.co,Ammo Studio,https://www.ammo.studio/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Dallas, TX",4.917,10000,100,"['35% Web Development', '35% Web Design', '10% Low/No Code Development', '10% UX/UI Design']",False
US,clutch.co,Culture Foundry,https://www.culturefoundry.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,"Austin, TX",5.015,25000,29,"['30% Web Development', '30% Web Design', '10% Custom Software Development']",False
US,clutch.co,INOXOFT,https://inoxoft.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Newark, DE",0.0,25000,29,['40% Web Development'],False
